basin_id,basin_name,surface_area_drainage_basin,long_outlet,lat_outlet,ordre,pdam
118,Oum_er_Rbia,35000,-8.31,33.32,1,1
296,Bou_Regreg,10000,-6.839,34.039,2,1
134,Sebou,39000,-6.62,34.35,3,1
297,Loukkos,3730,-6.155,35.202,4,1
333,Barbate,1290,-5.91245785700441,36.1857555572138,5,1
336,Guadalete,3677,-6.20359012387503,36.5568212517913,6,1
67,Guadalquivir,56966,-6.34719531559064,36.7955111186177,7,1
68,Guadiana,55422,-7.40377213873015,37.1764977357446,8,1
340,Piedras,286,-7.17724110669544,37.2766909157961,9,1
342,Tinto,1039,-6.84203197415675,37.2980304123919,10,1
339,Odiel,2111,-6.97741561809518,37.3104571508922,11,1
383,Mira,1600,-8.78559216309201,37.7194690733053,12,1
128,Sado,7692,-8.67330668529056,38.4152013395294,13,1
270,Tagus,80775,-8.99330253446028,38.9405327031516,14,1
387,Alcoa,415.999996733092,-9.07330739961069,39.5821547050997,15,1
100,Mondego,6644,-8.86271210007289,40.1458727716157,16,1
384,Vouga,3635,-8.66069923175738,40.6855001599568,17,1
45,Douro,97595,-8.67285289141363,41.14548496064,18,1
385,Ave,1395,-8.74462092012648,41.3416377231104,19,1
386,Cavado,1648,-8.7848797615787,41.5299562226173,20,1
88,Lima,2470,-8.8348701291115,41.684979079475,21,1
98,Minho,17067,-8.87075043963189,41.8649027981078,22,1
315,Lerez,453,-8.65019407159082,42.4354615172115,23,1
370,Umia,440,-8.80483103001464,42.5024460741603,24,1
289,Ulla,2817,-8.72651607979951,42.6771056838815,25,1
369,Tambre,1530,-8.86740524276748,42.8271030347259,26,1
358,Anllons,516,-8.90967304043815,43.2406734568706,27,1
248,Oria,873,-2.12697813576095,43.2751300975342,28,1
314,Mandeo,368,-8.21577602779556,43.2902960803413,29,1
371,Urola,350,-2.2509792815169,43.3012643296213,30,1
262,Oiartzun,94,-1.90826905791347,43.3210497298964,31,1
362,Deba,555,-2.42013081582084,43.3217476843693,32,1
261,Urumea,273,-1.9798908932821,43.3235660701073,33,1
287,Nervion,1801,-3.01977111788142,43.3259985055657,34,1
360,Barbadun,135,-3.11596326884857,43.341912598422,35,1
286,Bidassoa,750,-1.78306712844155,43.349302559576,36,1
365,Lea,128,-2.49741214965209,43.3615119550438,37,1
359,Artibai,110,-2.49741214965209,43.3615119550438,38,1
366,Oka,220,-2.67794892993681,43.3637725940997,39,1
290,Ason,640,-3.42932449789305,43.364859671195,40,1
110,Nivelle,138,-1.66460382853114,43.3866356063251,41,1
293,Nansa,428,-4.47121014952064,43.3907314077151,42,1
284,Deva_Cares,1131,-4.51304820425669,43.3920730293528,43,1
